rank,Name,Year,Rating,Metascore,Runtime,Genre,Votes
232,28 Weeks Later,2007,"

6.9
",78        ,100 min,"Action, Adventure, Horror","278,037"
233,Spaceballs,1987,"

7.1
",46        ,96 min,"Adventure, Comedy, Sci-Fi","191,683"
234,X-Men: The Last Stand,2006,"

6.6
",58        ,104 min,"Action, Adventure, Sci-Fi","517,982"
235,Barbarella,1968,"

5.8
",51        ,98 min,"Adventure, Comedy, Fantasy","35,364"
236,Brazil,1985,"

7.9
",84        ,132 min,"Drama, Sci-Fi","201,611"
237,Titane,2021,"

6.6
",75        ,108 min,"Drama, Horror, Sci-Fi","45,838"
238,What Happened to Monday,2017,"

6.8
",47        ,123 min,"Action, Crime, Fantasy","123,916"
239,A.I. Artificial Intelligence,2001,"

7.2
",65        ,146 min,"Drama, Sci-Fi","308,823"
240,X-Men Origins: Wolverine,2009,"

6.5
",40        ,107 min,"Action, Sci-Fi","506,119"
241,Free Birds,2013,"

5.8
",38        ,91 min,"Animation, Adventure, Comedy","24,483"
242,The Hunger Games: Mockingjay - Part 1,2014,"

6.6
",64        ,123 min,"Action, Adventure, Sci-Fi","456,277"
243,Star Wars: Episode II - Attack of the Clones,2002,"

6.6
",54        ,142 min,"Action, Adventure, Fantasy","710,196"
244,Earth Girls Are Easy,1988,"

5.4
",66        ,100 min,"Comedy, Musical, Romance","23,663"
245,Mad Max,1979,"

6.8
",73        ,88 min,"Action, Adventure, Sci-Fi","208,642"
246,Resident Evil,2002,"

6.6
",33        ,100 min,"Action, Horror, Sci-Fi","272,697"
247,Escape Room,2019,"

6.4
",48        ,99 min,"Action, Adventure, Horror","123,506"
248,The Amazing Spider-Man 2,2014,"

6.6
",53        ,142 min,"Action, Adventure, Sci-Fi","498,182"
249,Close Encounters of the Third Kind,1977,"

7.6
",90        ,138 min,"Drama, Sci-Fi","202,963"
250,Journey 2: The Mysterious Island,2012,"

5.7
",41        ,94 min,"Action, Adventure, Comedy","105,323"
